route_id,route_short_name,type_name,display_name
26454_700,938,Bus,Bus 938
26405_700,923,Bus,Bus 923
21726_700,935,Bus,Bus 935
21725_700,889,Bus,Bus 889
18373_700,R933,Bus,Bus R933
18372_700,R931,Bus,Bus R931
18371_700,970,Bus,Bus 970
18370_700,969,Bus,Bus 969
18369_700,968,Bus,Bus 968
18368_700,967,Bus,Bus 967
18367_700,966,Bus,Bus 966
18366_700,959,Bus,Bus 959
18365_700,958,Bus,Bus 958
18364_700,957,Bus,Bus 957
18363_700,956,Bus,Bus 956
18362_700,955,Bus,Bus 955
18361_700,951,Bus,Bus 951
18360_700,950,Bus,Bus 950
18359_700,949,Bus,Bus 949
18358_700,948,Bus,Bus 948
18357_700,947,Bus,Bus 947
18356_700,946,Bus,Bus 946
18355_700,945,Bus,Bus 945
18354_700,944,Bus,Bus 944
18353_700,943,Bus,Bus 943
18352_700,942,Bus,Bus 942
18351_700,941,Bus,Bus 941
18350_700,940,Bus,Bus 940
18349_700,939,Bus,Bus 939
18348_700,937,Bus,Bus 937
18347_700,936,Bus,Bus 936
18346_700,934,Bus,Bus 934
18345_700,933,Bus,Bus 933
18344_700,932,Bus,Bus 932
18343_700,931,Bus,Bus 931
18342_700,929,Bus,Bus 929
18341_700,928,Bus,Bus 928
18340_700,927,Bus,Bus 927
18339_700,926,Bus,Bus 926
27914_3,686,Bus,Bus 686
17694_3,338,Bus,Bus 338
17694_700,338,Bus,Bus 338
16735_700,683,Bus,Bus 683
16734_700,682,Bus,Bus 682
16733_700,681,Bus,Bus 681
16709_3,670,Bus,Bus 670
13418_700,669,Bus,Bus 669
10686_700,689,Bus,Bus 689
10685_3,688,Bus,Bus 688
10685_700,688,Bus,Bus 688
10684_700,687,Bus,Bus 687
10683_3,685,Bus,Bus 685
10683_700,685,Bus,Bus 685
10682_700,684,Bus,Bus 684
10679_700,679,Bus,Bus 679
10678_700,678,Bus,Bus 678
10677_700,677,Bus,Bus 677
10676_700,676,Bus,Bus 676
10675_700,675,Bus,Bus 675
10674_700,674,Bus,Bus 674
10673_700,673,Bus,Bus 673
10672_700,672,Bus,Bus 672
10671_700,668,Bus,Bus 668
10296_3,657,Bus,Bus 657
10296_700,657,Bus,Bus 657
4477_700,663,Bus,Bus 663
3975_700,660,Bus,Bus 660
3713_700,649,Bus,Bus 649
1971_700,642,Bus,Bus 642
1955_700,614,Bus,Bus 614
1945_3,604,Bus,Bus 604
1945_700,604,Bus,Bus 604
1939_700,680,Bus,Bus 680
1938_3,671,Bus,Bus 671
1938_700,671,Bus,Bus 671
1936_700,667,Bus,Bus 667
1935_700,666,Bus,Bus 666
1934_700,665,Bus,Bus 665
1933_700,664,Bus,Bus 664
1931_700,662,Bus,Bus 662
1930_700,661,Bus,Bus 661
1929_700,659,Bus,Bus 659
1928_700,658,Bus,Bus 658
1926_700,656,Bus,Bus 656
1925_700,655,Bus,Bus 655
1924_3,654,Bus,Bus 654
1924_700,654,Bus,Bus 654
1923_700,653,Bus,Bus 653
1922_3,652,Bus,Bus 652
1922_700,652,Bus,Bus 652
1921_3,651,Bus,Bus 651
1921_700,651,Bus,Bus 651
1920_700,650,Bus,Bus 650
28777_700,N13,Bus,Bus N13
27916_700,662,Bus,Bus 662
27915_700,619,Bus,Bus 619
16915_700,616,Bus,Bus 616
16859_700,N16,Bus,Bus N16
15959_700,612,Bus,Bus 612
15280_900,98,Tram,Tram 98
15279_700,X5,Bus,Bus X5
15278_700,639,Bus,Bus 639
15277_700,638,Bus,Bus 638
15276_700,609,Bus,Bus 609
15274_700,605,Bus,Bus 605
15273_700,603,Bus,Bus 603
13438_900,99,Tram,Tram 99
11364_700,X15,Bus,Bus X15
11362_700,N14,Bus,Bus N14
7362_900,93,Tram,Tram 93
7361_700,690,Bus,Bus 690
5635_900,96,Tram,Tram 96
5633_900,91,Tram,Tram 91
5631_700,691,Bus,Bus 691
5596_700,699,Bus,Bus 699
4456_700,698,Bus,Bus 698
1558_900,94,Tram,Tram 94
1556_900,92,Tram,Tram 92
1554_700,N17,Bus,Bus N17
1552_700,N15,Bus,Bus N15
1551_700,697,Bus,Bus 697
1550_700,696,Bus,Bus 696
1549_700,695,Bus,Bus 695
1548_700,694,Bus,Bus 694
1547_700,693,Bus,Bus 693
1546_700,692,Bus,Bus 692
20439_900,87,Tram,Tram 87
12532_900,88,Tram,Tram 88
25529_700,511,Bus,Bus 511
23444_700,732,Bus,Bus 732
22804_700,263,Bus,Bus 263
22625_700,N36,Bus,Bus N36
16009_700,741,Bus,Bus 741
15714_700,742,Bus,Bus 742
15374_700,519,Bus,Bus 519
11216_700,518,Bus,Bus 518
5384_700,743,Bus,Bus 743
5382_700,739,Bus,Bus 739
5381_700,738,Bus,Bus 738
5380_700,737,Bus,Bus 737
5379_700,736,Bus,Bus 736
5378_700,735,Bus,Bus 735
5377_700,734,Bus,Bus 734
5376_700,733,Bus,Bus 733
5373_700,731,Bus,Bus 731
5372_700,730,Bus,Bus 730
5371_700,729,Bus,Bus 729
5370_700,728,Bus,Bus 728
5369_700,727,Bus,Bus 727
5368_700,726,Bus,Bus 726
5366_700,725,Bus,Bus 725
5365_700,724,Bus,Bus 724
5364_700,723,Bus,Bus 723
5363_700,722,Bus,Bus 722
5362_700,721,Bus,Bus 721
5359_700,517,Bus,Bus 517
5358_700,516,Bus,Bus 516
5356_700,513,Bus,Bus 513
5355_700,512,Bus,Bus 512
5354_700,510,Bus,Bus 510
5353_700,509,Bus,Bus 509
5352_700,508,Bus,Bus 508
5351_700,507,Bus,Bus 507
5350_700,506,Bus,Bus 506
5348_700,504,Bus,Bus 504
5346_700,502,Bus,Bus 502
5345_700,500,Bus,Bus 500
5344_700,477,Bus,Bus 477
5343_700,476,Bus,Bus 476
5342_700,475,Bus,Bus 475
5341_700,474,Bus,Bus 474
5340_700,473,Bus,Bus 473
5339_700,472,Bus,Bus 472
5338_700,471,Bus,Bus 471
5337_700,470,Bus,Bus 470
5336_700,469,Bus,Bus 469
5335_700,468,Bus,Bus 468
5334_700,465,Bus,Bus 465
5333_700,467,Bus,Bus 467
5332_700,466,Bus,Bus 466
28199_700,EV3,Bus,Bus EV3
16214_700,983,Bus,Bus 983
12194_700,N2,Bus,Bus N2
12193_700,N1,Bus,Bus N1
1883_900,5,Tram,Tram 5
1882_900,4,Tram,Tram 4
1881_900,3,Tram,Tram 3
1880_900,2,Tram,Tram 2
1879_900,1,Tram,Tram 1
1878_700,988,Bus,Bus 988
1877_700,987,Bus,Bus 987
1874_700,984,Bus,Bus 984
1872_700,982,Bus,Bus 982
1871_700,981,Bus,Bus 981
1870_700,980,Bus,Bus 980
28050_700,819,Bus,Bus 819
25354_700,825,Bus,Bus 825
20969_700,823,Bus,Bus 823
15068_3,848,Bus,Bus 848
15068_700,848,Bus,Bus 848
14755_700,834,Bus,Bus 834
14754_700,814,Bus,Bus 814
14753_700,810,Bus,Bus 810
13543_3,831,Bus,Bus 831
13543_700,831,Bus,Bus 831
5269_3,857,Bus,Bus 857
5269_700,857,Bus,Bus 857
5268_3,854,Bus,Bus 854
5268_700,854,Bus,Bus 854
5266_700,851,Bus,Bus 851
5265_700,850,Bus,Bus 850
5264_3,847,Bus,Bus 847
5264_700,847,Bus,Bus 847
5263_3,846,Bus,Bus 846
5263_700,846,Bus,Bus 846
5262_3,845,Bus,Bus 845
5262_700,845,Bus,Bus 845
5260_3,843,Bus,Bus 843
5260_700,843,Bus,Bus 843
5259_3,842,Bus,Bus 842
5259_700,842,Bus,Bus 842
5258_3,841,Bus,Bus 841
5258_700,841,Bus,Bus 841
5257_3,839,Bus,Bus 839
5257_700,839,Bus,Bus 839
5256_3,838,Bus,Bus 838
5256_700,838,Bus,Bus 838
5255_3,837,Bus,Bus 837
5255_700,837,Bus,Bus 837
5254_3,836,Bus,Bus 836
5254_700,836,Bus,Bus 836
5253_700,835,Bus,Bus 835
5252_3,833,Bus,Bus 833
5252_700,833,Bus,Bus 833
5251_3,832,Bus,Bus 832
5251_700,832,Bus,Bus 832
5250_3,830,Bus,Bus 830
5250_700,830,Bus,Bus 830
5249_700,824,Bus,Bus 824
5248_700,822,Bus,Bus 822
5247_700,821,Bus,Bus 821
5246_700,816,Bus,Bus 816
5244_3,813,Bus,Bus 813
5243_3,812,Bus,Bus 812
5243_700,812,Bus,Bus 812
5242_700,811,Bus,Bus 811
5241_700,809,Bus,Bus 809
5240_700,808,Bus,Bus 808
5239_700,807,Bus,Bus 807
5238_700,806,Bus,Bus 806
5237_700,805,Bus,Bus 805
5236_3,804,Bus,Bus 804
5236_700,804,Bus,Bus 804
5235_3,803,Bus,Bus 803
5235_700,803,Bus,Bus 803
5234_3,802,Bus,Bus 802
5234_700,802,Bus,Bus 802
5233_3,800,Bus,Bus 800
5233_700,800,Bus,Bus 800
5232_3,801,Bus,Bus 801
5232_700,801,Bus,Bus 801
29195_700,40,Bus,Bus 40
29172_700,894,Bus,Bus 894
29171_700,892,Bus,Bus 892
29169_700,890,Bus,Bus 890
29168_700,887,Bus,Bus 887
29167_700,886,Bus,Bus 886
29166_700,885,Bus,Bus 885
29165_700,884,Bus,Bus 884
29164_700,883,Bus,Bus 883
29163_700,881,Bus,Bus 881
29162_700,880,Bus,Bus 880
29161_700,879,Bus,Bus 879
29160_700,877,Bus,Bus 877
29159_700,876,Bus,Bus 876
29158_700,873,Bus,Bus 873
29157_700,872,Bus,Bus 872
29156_700,870,Bus,Bus 870
29155_700,868,Bus,Bus 868
29154_700,866,Bus,Bus 866
29153_700,861,Bus,Bus 861
29152_700,860,Bus,Bus 860
29151_700,859,Bus,Bus 859
29150_700,858,Bus,Bus 858
29149_700,857,Bus,Bus 857
29148_700,856,Bus,Bus 856
29147_700,855,Bus,Bus 855
29146_700,854,Bus,Bus 854
29145_700,853,Bus,Bus 853
29144_700,852,Bus,Bus 852
29143_700,851,Bus,Bus 851
29142_700,850,Bus,Bus 850
29141_700,849,Bus,Bus 849
29140_700,800,Bus,Bus 800
21619_700,2N,Bus,Bus 2N
21454_700,45,Bus,Bus 45
21205_700,EV1,Bus,Bus EV1
21159_700,9,Bus,Bus 9
17541_700,4N,Bus,Bus 4N
17540_700,3N,Bus,Bus 3N
15624_700,10,Bus,Bus 10
15029_700,48,Bus,Bus 48
15027_700,34,Bus,Bus 34
15026_700,30,Bus,Bus 30
15025_700,28,Bus,Bus 28
15024_700,24,Bus,Bus 24
15020_700,14,Bus,Bus 14
14979_700,38,Bus,Bus 38
13443_700,17,Bus,Bus 17
13136_700,47,Bus,Bus 47
13134_700,46,Bus,Bus 46
13133_700,44,Bus,Bus 44
13132_700,43,Bus,Bus 43
13131_700,42,Bus,Bus 42
13127_700,39,Bus,Bus 39
13126_700,37,Bus,Bus 37
13125_700,35,Bus,Bus 35
13123_700,33,Bus,Bus 33
13122_700,32,Bus,Bus 32
13120_700,29,Bus,Bus 29
13119_700,27,Bus,Bus 27
13118_700,26,Bus,Bus 26
13116_700,25,Bus,Bus 25
13115_700,23,Bus,Bus 23
13114_700,22,Bus,Bus 22
13113_700,21,Bus,Bus 21
13111_700,20,Bus,Bus 20
13110_700,19,Bus,Bus 19
13109_700,18,Bus,Bus 18
13108_700,16,Bus,Bus 16
13107_700,15,Bus,Bus 15
13106_700,13,Bus,Bus 13
13105_700,12,Bus,Bus 12
13104_700,11,Bus,Bus 11
12891_900,4,Tram,Tram 4
12890_900,3,Tram,Tram 3
12889_900,2,Tram,Tram 2
12888_900,1,Tram,Tram 1
28806_700,570,Bus,Bus 570
28805_700,561,Bus,Bus 561
28804_700,557,Bus,Bus 557
28803_700,556,Bus,Bus 556
28802_700,554,Bus,Bus 554
28801_700,550,Bus,Bus 550
28800_700,548,Bus,Bus 548
28799_700,546,Bus,Bus 546
28400_700,568,Bus,Bus 568
28399_700,567,Bus,Bus 567
22624_700,540,Bus,Bus 540
22454_700,545,Bus,Bus 545
22453_700,543,Bus,Bus 543
22452_700,542,Bus,Bus 542
22451_700,541,Bus,Bus 541
22424_700,E30,Bus,Bus E30
20931_700,640,Bus,Bus 640
20930_700,641,Bus,Bus 641
20845_700,549,Bus,Bus 549
19211_700,X43,Bus,Bus X43
18945_700,X1,Bus,Bus X1
18943_700,N13,Bus,Bus N13
18941_700,647,Bus,Bus 647
18940_700,646,Bus,Bus 646
18939_700,645,Bus,Bus 645
18938_700,644,Bus,Bus 644
18937_700,643,Bus,Bus 643
18935_700,635,Bus,Bus 635
18934_700,634,Bus,Bus 634
18933_700,633,Bus,Bus 633
18932_700,632,Bus,Bus 632
18931_700,631,Bus,Bus 631
18930_700,630,Bus,Bus 630
18929_700,629,Bus,Bus 629
18928_700,628,Bus,Bus 628
18927_700,627,Bus,Bus 627
18926_700,626,Bus,Bus 626
18924_700,624,Bus,Bus 624
18923_700,623,Bus,Bus 623
18922_700,622,Bus,Bus 622
18921_700,621,Bus,Bus 621
18920_700,620,Bus,Bus 620
18917_700,613,Bus,Bus 613
18916_700,612,Bus,Bus 612
18915_700,611,Bus,Bus 611
18914_700,610,Bus,Bus 610
18913_700,608,Bus,Bus 608
18911_700,607,Bus,Bus 607
18910_700,602,Bus,Bus 602
18909_700,601,Bus,Bus 601
18908_700,590,Bus,Bus 590
18907_700,589,Bus,Bus 589
18906_700,588,Bus,Bus 588
18905_700,587,Bus,Bus 587
18904_700,586,Bus,Bus 586
18902_700,584,Bus,Bus 584
18901_700,583,Bus,Bus 583
18900_700,582,Bus,Bus 582
18899_700,581,Bus,Bus 581
18898_700,580,Bus,Bus 580
18897_700,572,Bus,Bus 572
18895_700,569,Bus,Bus 569
18893_700,564,Bus,Bus 564
18892_700,563,Bus,Bus 563
18891_700,562,Bus,Bus 562
18889_700,560,Bus,Bus 560
18888_700,558,Bus,Bus 558
18886_700,553,Bus,Bus 553
18885_700,552,Bus,Bus 552
18884_700,551,Bus,Bus 551
28943_100,S85X,Regional Rail,Regional Rail S85X
28442_700,RE50,Bus,Bus RE50
28441_700,RB10,Bus,Bus RB10
28323_106,RB13,Other,Other RB13
28259_100,RE8,Regional Rail,Regional Rail RE8
28258_100,RB10,Regional Rail,Regional Rail RB10
25205_700,RE8,Bus,Bus RE8
24394_700,RB37,Bus,Bus RB37
24194_700,RE8,Bus,Bus RE8
24109_700,RE1,Bus,Bus RE1
23945_100,RE1,Regional Rail,Regional Rail RE1
23944_100,RB37,Regional Rail,Regional Rail RB37
23389_106,RB15,Other,Other RB15
22670_106,RB19,Other,Other RB19
20373_106,RB64,Other,Other RB64
20369_100,RB65,Regional Rail,Regional Rail RB65
18969_100,RB46,Regional Rail,Regional Rail RB46
17047_700,RB65,Bus,Bus RB65
17041_700,RB51,Bus,Bus RB51
17040_700,RB46,Bus,Bus RB46
17039_700,RB33,Bus,Bus RB33
16867_106,RB13,Other,Other RB13
16349_100,RB51,Regional Rail,Regional Rail RB51
16345_100,RB33,Regional Rail,Regional Rail RB33
28572_109,S15,Other,Other S15
28571_109,S15,Other,Other S15
28412_109,S85,Other,Other S85
28411_109,S8,Other,Other S8
24864_109,S5,Other,Other S5
22240_109,S85,Other,Other S85
21799_109,S42,Other,Other S42
21649_109,S25,Other,Other S25
18950_109,S3,Other,Other S3
18949_109,S26,Other,Other S26
16929_109,S41,Other,Other S41
16814_109,S7,Other,Other S7
14383_700,S42,Bus,Bus S42
11701_700,S3,Bus,Bus S3
11651_700,S47,Bus,Bus S47
11537_109,S46,Other,Other S46
11536_109,S46,Other,Other S46
11342_700,S41,Bus,Bus S41
11341_700,S25,Bus,Bus S25
10371_700,S9,Bus,Bus S9
10286_700,S1,Bus,Bus S1
10279_109,S2,Other,Other S2
10278_109,S2,Other,Other S2
10277_109,S1,Other,Other S1
10276_109,S1,Other,Other S1
10272_700,S7,Bus,Bus S7
10271_109,S9,Other,Other S9
10236_700,S46,Bus,Bus S46
10229_109,S47,Other,Other S47
10228_109,S42,Other,Other S42
10227_109,S42,Other,Other S42
10226_109,S42,Other,Other S42
10225_109,S41,Other,Other S41
10224_109,S41,Other,Other S41
10223_109,S41,Other,Other S41
10170_109,S9,Other,Other S9
10167_109,S8,Other,Other S8
10166_109,S75,Other,Other S75
10165_109,S75,Other,Other S75
10163_109,S7,Other,Other S7
10162_109,S7,Other,Other S7
10160_109,S5,Other,Other S5
10159_109,S5,Other,Other S5
10158_109,S5,Other,Other S5
10157_109,S5,Other,Other S5
10155_109,S46,Other,Other S46
10150_109,S3,Other,Other S3
10149_109,S3,Other,Other S3
10148_109,S3,Other,Other S3
10145_109,S25,Other,Other S25
10144_109,S2,Other,Other S2
10143_109,S2,Other,Other S2
10142_109,S1,Other,Other S1
10141_109,S1,Other,Other S1
27044_700,X19,Bus,Bus X19
25489_700,721,Bus,Bus 721
20364_700,714,Bus,Bus 714
19079_700,715,Bus,Bus 715
16774_700,774,Bus,Bus 774
16354_700,600,Bus,Bus 600
15713_700,796,Bus,Bus 796
15712_700,795,Bus,Bus 795
15711_700,791,Bus,Bus 791
15710_700,790,Bus,Bus 790
13889_700,792,Bus,Bus 792
13888_700,789,Bus,Bus 789
13730_700,797,Bus,Bus 797
13729_700,794,Bus,Bus 794
13728_700,793,Bus,Bus 793
12043_700,760,Bus,Bus 760
10914_700,773,Bus,Bus 773
10913_700,755,Bus,Bus 755
10912_700,752,Bus,Bus 752
10911_700,709,Bus,Bus 709
9696_700,711,Bus,Bus 711
6629_700,771,Bus,Bus 771
6626_700,769,Bus,Bus 769
6625_700,768,Bus,Bus 768
6624_700,766,Bus,Bus 766
6622_700,758,Bus,Bus 758
6621_700,756,Bus,Bus 756
6620_700,754,Bus,Bus 754
6618_700,753,Bus,Bus 753
6617_700,751,Bus,Bus 751
5270_700,761,Bus,Bus 761
4521_700,772,Bus,Bus 772
4520_700,770,Bus,Bus 770
4519_700,765,Bus,Bus 765
4518_700,764,Bus,Bus 764
4517_700,763,Bus,Bus 763
4516_700,759,Bus,Bus 759
4515_700,757,Bus,Bus 757
4514_700,750,Bus,Bus 750
4512_700,720,Bus,Bus 720
4511_700,719,Bus,Bus 719
4509_700,718,Bus,Bus 718
4508_700,717,Bus,Bus 717
4507_700,716,Bus,Bus 716
4505_700,713,Bus,Bus 713
4504_700,712,Bus,Bus 712
4503_700,710,Bus,Bus 710
4502_700,708,Bus,Bus 708
4501_700,707,Bus,Bus 707
4499_700,706,Bus,Bus 706
4498_700,705,Bus,Bus 705
4497_700,704,Bus,Bus 704
4496_700,703,Bus,Bus 703
4495_700,702,Bus,Bus 702
4493_700,701,Bus,Bus 701
4492_700,700,Bus,Bus 700
28971_700,RE30,Bus,Bus RE30
28954_700,X4,Bus,Bus X4
28951_700,C,Bus,Bus C
28950_700,B,Bus,Bus B
28949_700,A,Bus,Bus A
28311_100,RE20,Regional Rail,Regional Rail RE20
28054_100,RB92,Regional Rail,Regional Rail RB92
27180_100,RB91,Regional Rail,Regional Rail RB91
27018_700,Bus,Bus,Bus Bus
26748_100,RB93,Regional Rail,Regional Rail RB93
26747_100,RB91,Regional Rail,Regional Rail RB91
24524_700,RE11,Bus,Bus RE11
24172_700,RE4,Bus,Bus RE4
24171_700,RE2,Bus,Bus RE2
24116_700,RB32,Bus,Bus RB32
24057_100,RE10,Regional Rail,Regional Rail RE10
24056_100,RB20,Regional Rail,Regional Rail RB20
24055_100,RB14,Regional Rail,Regional Rail RB14
24053_100,RE7,Regional Rail,Regional Rail RE7
24052_100,RB22,Regional Rail,Regional Rail RB22
24051_100,FEX,Regional Rail,Regional Rail FEX
24050_100,RB24,Regional Rail,Regional Rail RB24
24049_100,RB21,Regional Rail,Regional Rail RB21
24048_100,RE13,Regional Rail,Regional Rail RE13
24047_100,RE11,Regional Rail,Regional Rail RE11
24046_100,RB32,Regional Rail,Regional Rail RB32
24045_100,RE2,Regional Rail,Regional Rail RE2
24044_100,RB23,Regional Rail,Regional Rail RB23
24043_100,RB49,Regional Rail,Regional Rail RB49
24042_100,RB43,Regional Rail,Regional Rail RB43
24025_100,RE4,Regional Rail,Regional Rail RE4
20813_100,RB73,Regional Rail,Regional Rail RB73
20812_100,RB74,Regional Rail,Regional Rail RB74
20810_700,RB34,Bus,Bus RB34
20809_100,RB33,Regional Rail,Regional Rail RB33
20809_700,RB33,Bus,Bus RB33
20466_100,RB93,Regional Rail,Regional Rail RB93
19722_700,RB14,Bus,Bus RB14
19720_700,RB21,Bus,Bus RB21
19719_700,RB22,Bus,Bus RB22
19717_700,RB24,Bus,Bus RB24
19716_700,RB31,Bus,Bus RB31
19715_700,RB43,Bus,Bus RB43
19714_700,RB49,Bus,Bus RB49
19713_700,RB55,Bus,Bus RB55
19712_700,RB66,Bus,Bus RB66
19708_700,RE3,Bus,Bus RE3
19707_700,RE5,Bus,Bus RE5
19706_700,RE6,Bus,Bus RE6
19705_700,RE7,Bus,Bus RE7
19702_700,RE10,Bus,Bus RE10
19701_700,RE15,Bus,Bus RE15
19700_700,RE18,Bus,Bus RE18
19686_100,RB23,Regional Rail,Regional Rail RB23
19685_100,RB24,Regional Rail,Regional Rail RB24
19681_100,RE14,Regional Rail,Regional Rail RE14
19157_100,RB51,Regional Rail,Regional Rail RB51
19156_109,S1,Other,Other S1
19156_700,S1,Bus,Bus S1
19155_109,S4,Other,Other S4
19066_100,RE6,Regional Rail,Regional Rail RE6
19065_100,RB55,Regional Rail,Regional Rail RB55
19063_100,RE18,Regional Rail,Regional Rail RE18
19062_100,RE15,Regional Rail,Regional Rail RE15
19060_100,RB31,Regional Rail,Regional Rail RB31
19059_100,RE5,Regional Rail,Regional Rail RE5
19058_100,RE3,Regional Rail,Regional Rail RE3
26410_700,958,Bus,Bus 958
26409_700,825,Bus,Bus 825
24694_700,903,Bus,Bus 903
23724_700,872,Bus,Bus 872
23435_700,906,Bus,Bus 906
22775_700,871,Bus,Bus 871
21750_700,889,Bus,Bus 889
21749_700,866,Bus,Bus 866
20879_700,879,Bus,Bus 879
20479_700,870,Bus,Bus 870
19244_700,914,Bus,Bus 914
19009_700,897,Bus,Bus 897
16374_700,882,Bus,Bus 882
14733_700,867,Bus,Bus 867
14428_700,863,Bus,Bus 863
10234_700,917,Bus,Bus 917
7251_700,869,Bus,Bus 869
4287_700,862,Bus,Bus 862
4281_700,861,Bus,Bus 861
